content,id,lineno,loaded_at,name,source,source_type
Signature: input: df of type 'pl.LazyFrame' returns: pl.LazyFrame,src.wine.contracts.add_hash_column,37,2024-07-26T03:24:41.889934UTC,add_hash_column,src.wine.contracts.add_hash_column,function
"Signature: input: file of type 'str', hir of type 'list[str]' returns: list[dict]
""\n    Parsing a file into different components based on it's format.\n    """,src.kickstarter_docs.load_chunks.parse_md_file,92,2024-07-26T03:24:41.889934UTC,parse_md_file,src.kickstarter_docs.load_chunks.parse_md_file,function
"Decorated: feature_view(name='movie_review', description='Sentiment analysis of text data', source=dataset_dir.csv_at('sentiment.csv'))
Attribute: review_id
Attribute: text
Attribute: is_negative",src.movie_review.contracts.MovieReview,13,2024-07-24T20:18:47.942105UTC,MovieReview,src.movie_review.contracts.MovieReview,class
"Signature: input: model_contract_name of type 'str', store of type 'FeatureStore' returns: ModelSignature",src.model_registry.signature_for_model,107,2024-07-26T03:24:41.889934UTC,signature_for_model,src.model_registry.signature_for_model,function
"Signature: input: store of type 'ContractStore', update_tag of type 'str | None' returns: list[Model]
Decorated: task",src.pipelines.batch_predict.select_models_to_predict_for,96,2024-07-23T10:51:31.741387UTC,select_models_to_predict_for,src.pipelines.batch_predict.select_models_to_predict_for,function
Signature: input: request returns: pl.LazyFrame,src.kickstarter_docs.load_chunks.parse_code_chunks,140,2024-07-26T03:24:41.889934UTC,parse_code_chunks,src.kickstarter_docs.load_chunks.parse_code_chunks,function
"Signature: input: input of type 'pl.DataFrame' returns: pl.DataFrame
'\n    Unpacks all list features in the input DataFrame.\n\n    This is needed as most models do not accept nested data structures.\n    Therefore, this will transform the input to one 1D vector.\n    '",src.model_registry.unpack_lists,44,2024-07-26T03:24:41.889934UTC,unpack_lists,src.model_registry.unpack_lists,function
"Signature: input: input of type 'pl.DataFrame', features of type 'list[Feature]' returns: pl.DataFrame
'\n    Unpacks all embedding features in the input DataFrame.\n\n    This is needed as most models do not accept nested data structures.\n    Therefore, this will transform the input to one 1D vector.\n    '",src.model_registry.unpack_embeddings,21,2024-07-26T03:24:41.889934UTC,unpack_embeddings,src.model_registry.unpack_embeddings,function
"Signature: input: contract of type 'ModelFeatureStore', prompt of type 'str' returns: ChatMessage",src.kickstarter_docs.chat_app.display_response,112,2024-07-26T03:24:41.889934UTC,display_response,src.kickstarter_docs.chat_app.display_response,function
"Signature: input: view_name of type 'str', store of type 'ContractStore' returns: None
Decorated: task",src.pipelines.materialize.materialize_view,18,2024-07-26T03:24:41.889934UTC,materialize_view,src.pipelines.materialize.materialize_view,function
"Subclassing: ExperimentTracker
Function: start_run. Signature: input: self, run_name of type 'str' returns: Generator[None, None, None]
Function: log_model_params. Signature: input: self, params of type 'dict[str, Any]' returns: None
Function: log_metric. Signature: input: self, key of type 'str', value of type 'float' returns: None
Function: log_figure. Signature: input: self, figure of type 'Figure', name of type 'str' returns: None
Function: report_url. Signature: input: self returns: str | None",src.experiment_tracker.StdoutExperimentTracker,56,2024-07-26T03:24:41.889934UTC,StdoutExperimentTracker,src.experiment_tracker.StdoutExperimentTracker,class
Signature:  returns: None,src.pipelines.available.main,32,2024-07-26T03:24:41.889934UTC,main,src.pipelines.available.main,function
"Signature: input: model_name of type 'str', store of type 'ContractStore' returns: None
Decorated: task",src.pipelines.batch_predict.batch_predict_for,15,2024-07-26T03:24:41.889934UTC,batch_predict_for,src.pipelines.batch_predict.batch_predict_for,function
"Decorated: model_contract(name='movie_review_is_negative', input_features=[review_embedding.embedding], output_source=dataset_dir.csv_at('predictions.csv'), exposed_model=mlflow_server(host='http://movie-review-is-negative:8080', model_name='movie_review_is_negative', model_alias='champion'), dataset_store=dataset_dir.json_at('datasets.json'))
Attribute: review_id
Attribute: model_version
Attribute: is_negative_pred",src.movie_review.contracts.MovieReviewIsNegative,103,2024-07-26T03:24:41.889934UTC,MovieReviewIsNegative,src.movie_review.contracts.MovieReviewIsNegative,class
"Subclassing: ChatStore
Function: read. Signature: input: self returns: list[ChatMessage]
Function: add. Signature: input: self, message of type 'ChatMessage' returns: None",src.kickstarter_docs.chat_app.StreamlitChatStore,31,2024-07-26T03:24:41.889934UTC,StreamlitChatStore,src.kickstarter_docs.chat_app.StreamlitChatStore,class
"Signature: input: model_store of type 'ModelFeatureStore', entities of type 'ConvertableToRetrivalJob | RetrivalJob', dataset_dir of type 'Directory', dataset_id of type 'str | None', train_size of type 'float' returns: tuple[SupervisedJob, SupervisedJob]
Decorated: task",src.pipelines.train.generate_train_test,29,2024-07-26T03:24:41.889934UTC,generate_train_test,src.pipelines.train.generate_train_test,function
Signature:  returns: ContractStore,src.load_store.load_store,19,2024-07-26T03:24:41.889934UTC,load_store,src.load_store.load_store,function
"Signature: input: model of type 'Model', model_contract of type 'str', store of type 'ContractStore', registry of type 'ModelRegristry' returns: str
Decorated: task",src.pipelines.train.store_model,138,2024-07-26T03:24:41.889934UTC,store_model,src.pipelines.train.store_model,function
"Subclassing: ModelRegristry
Function: store_model. Signature: input: self, model of type 'Model', model_name of type 'str', store of type 'FeatureStore' returns: str
Function: load_model_with_id. Signature: input: self, id of type 'str' returns: Model | None
Function: load_model. Signature: input: self, name of type 'str', alias of type 'str' returns: Model | None",src.model_registry.MlFlowModelRegristry,171,2024-07-26T03:24:41.889934UTC,MlFlowModelRegristry,src.model_registry.MlFlowModelRegristry,class
"Signature: input: location of type 'FeatureLocation', store of type 'ContractStore', existing_locations of type 'dict[FeatureLocation, int] | None' returns: dict[FeatureLocation, int]",src.pipelines.materialize.levels_for_location,97,2024-07-26T03:24:41.889934UTC,levels_for_location,src.pipelines.materialize.levels_for_location,function
Signature: ,src.kickstarter_docs.contract.rag_chain,66,2024-07-26T03:24:41.889934UTC,rag_chain,src.kickstarter_docs.contract.rag_chain,function
