loaded_at;fixed acidity;quality;chlorides;pH;citric acid;residual sugar;sulphates;wine_id;volatile acidity;total sulfur dioxide;density;free sulfur dioxide;alcohol
2024-07-18T09:10:29.271741+UTC;7.4;5;0.076;3.51;0.0;1.9;0.56;940408835;0.7;34.0;0.9978;11.0;9.4
2024-07-18T09:10:29.271741+UTC;7.8;5;0.098;3.2;0.0;2.6;0.68;2080774331;0.88;67.0;0.9968;25.0;9.8
2024-07-18T09:10:29.271741+UTC;7.8;5;0.092;3.26;0.04;2.3;0.65;1445842156;0.76;54.0;0.997;15.0;9.8
2024-07-18T09:10:29.271741+UTC;11.2;6;0.075;3.16;0.56;1.9;0.58;984765610;0.28;60.0;0.998;17.0;9.8
2024-07-18T09:10:29.271741+UTC;7.4;5;0.076;3.51;0.0;1.9;0.56;940408835;0.7;34.0;0.9978;11.0;9.4
2024-07-18T09:10:29.271741+UTC;7.4;5;0.075;3.51;0.0;1.8;0.56;547971395;0.66;40.0;0.9978;13.0;9.4
2024-07-18T09:10:29.271741+UTC;7.9;5;0.069;3.3;0.06;1.6;0.46;3442723832;0.6;59.0;0.9964;15.0;9.4
2024-07-18T09:10:29.271741+UTC;7.3;7;0.065;3.39;0.0;1.2;0.47;4183787026;0.65;21.0;0.9946;15.0;10.0
2024-07-18T09:10:29.271741+UTC;7.8;7;0.073;3.36;0.02;2.0;0.57;373836506;0.58;18.0;0.9968;9.0;9.5
2024-07-18T09:10:29.271741+UTC;7.5;5;0.071;3.35;0.36;6.1;0.8;2879466869;0.5;102.0;0.9978;17.0;10.5
2024-07-18T09:10:29.271741+UTC;6.7;5;0.097;3.28;0.08;1.8;0.54;2336564140;0.58;65.0;0.9959;15.0;9.2
2024-07-18T09:10:29.271741+UTC;7.5;5;0.071;3.35;0.36;6.1;0.8;2879466869;0.5;102.0;0.9978;17.0;10.5
2024-07-18T09:10:29.271741+UTC;5.6;5;0.089;3.58;0.0;1.6;0.52;1920733482;0.615;59.0;0.9943;16.0;9.9
2024-07-18T09:10:29.271741+UTC;7.8;5;0.114;3.26;0.29;1.6;1.56;1454546519;0.61;29.0;0.9974;9.0;9.1
2024-07-18T09:10:29.271741+UTC;8.9;5;0.176;3.16;0.18;3.8;0.88;610375540;0.62;145.0;0.9986;52.0;9.2
2024-07-18T09:10:29.271741+UTC;8.9;5;0.17;3.17;0.19;3.9;0.93;2281263085;0.62;148.0;0.9986;51.0;9.2
2024-07-18T09:10:29.271741+UTC;8.5;7;0.092;3.3;0.56;1.8;0.75;708529432;0.28;103.0;0.9969;35.0;10.5
2024-07-18T09:10:29.271741+UTC;8.1;5;0.368;3.11;0.28;1.7;1.28;3559889572;0.56;56.0;0.9968;16.0;9.3
2024-07-18T09:10:29.271741+UTC;7.4;4;0.086;3.38;0.08;4.4;0.5;2702204263;0.59;29.0;0.9974;6.0;9.0
2024-07-18T09:10:29.271741+UTC;7.9;6;0.341;3.04;0.51;1.8;1.08;483204441;0.32;56.0;0.9969;17.0;9.2
2024-07-18T09:10:29.271741+UTC;8.9;6;0.077;3.39;0.48;1.8;0.53;2890373831;0.22;60.0;0.9968;29.0;9.4
2024-07-18T09:10:29.271741+UTC;7.6;5;0.082;3.52;0.31;2.3;0.65;2997122273;0.39;71.0;0.9982;23.0;9.7
2024-07-18T09:10:29.271741+UTC;7.9;5;0.106;3.17;0.21;1.6;0.91;2207877750;0.43;37.0;0.9966;10.0;9.5
2024-07-18T09:10:29.271741+UTC;8.5;5;0.084;3.17;0.11;2.3;0.53;2980949893;0.49;67.0;0.9968;9.0;9.4
2024-07-18T09:10:29.271741+UTC;6.9;6;0.085;3.43;0.14;2.4;0.63;2081994875;0.4;40.0;0.9968;21.0;9.7
2024-07-18T09:10:29.271741+UTC;6.3;5;0.08;3.34;0.16;1.4;0.56;464340241;0.39;23.0;0.9955;11.0;9.3
2024-07-18T09:10:29.271741+UTC;7.6;5;0.08;3.28;0.24;1.8;0.59;1917778837;0.41;11.0;0.9962;4.0;9.5
