loaded_at;fixed acidity;quality;chlorides;pH;citric acid;residual sugar;sulphates;wine_id;volatile acidity;total sulfur dioxide;density;free sulfur dioxide;alcohol
2024-07-18T09:09:49.024145+UTC;7.0;6;0.045;3.0;0.36;20.7;0.45;2809534705;0.27;170.0;1.001;45.0;8.8
2024-07-18T09:09:49.024145+UTC;6.3;6;0.049;3.3;0.34;1.6;0.49;2869602785;0.3;132.0;0.994;14.0;9.5
2024-07-18T09:09:49.024145+UTC;8.1;6;0.05;3.26;0.4;6.9;0.44;3442531993;0.28;97.0;0.9951;30.0;10.1
2024-07-18T09:09:49.024145+UTC;7.2;6;0.058;3.19;0.32;8.5;0.4;1895639339;0.23;186.0;0.9956;47.0;9.9
2024-07-18T09:09:49.024145+UTC;7.2;6;0.058;3.19;0.32;8.5;0.4;1895639339;0.23;186.0;0.9956;47.0;9.9
2024-07-18T09:09:49.024145+UTC;8.1;6;0.05;3.26;0.4;6.9;0.44;3442531993;0.28;97.0;0.9951;30.0;10.1
2024-07-18T09:09:49.024145+UTC;6.2;6;0.045;3.18;0.16;7.0;0.47;2338615595;0.32;136.0;0.9949;30.0;9.6
2024-07-18T09:09:49.024145+UTC;7.0;6;0.045;3.0;0.36;20.7;0.45;2809534705;0.27;170.0;1.001;45.0;8.8
2024-07-18T09:09:49.024145+UTC;6.3;6;0.049;3.3;0.34;1.6;0.49;2869602785;0.3;132.0;0.994;14.0;9.5
2024-07-18T09:09:49.024145+UTC;8.1;6;0.044;3.22;0.43;1.5;0.45;3307205931;0.22;129.0;0.9938;28.0;11.0
2024-07-18T09:09:49.024145+UTC;8.1;5;0.033;2.99;0.41;1.45;0.56;2900383592;0.27;63.0;0.9908;11.0;12.0
2024-07-18T09:09:49.024145+UTC;8.6;5;0.035;3.14;0.4;4.2;0.53;2942344603;0.23;109.0;0.9947;17.0;9.7
2024-07-18T09:09:49.024145+UTC;7.9;5;0.04;3.18;0.37;1.2;0.63;1550080926;0.18;75.0;0.992;16.0;10.8
2024-07-18T09:09:49.024145+UTC;6.6;7;0.044;3.54;0.4;1.5;0.52;4063765717;0.16;143.0;0.9912;48.0;12.4
2024-07-18T09:09:49.024145+UTC;8.3;5;0.04;2.98;0.62;19.25;0.67;685944525;0.42;172.0;1.0002;41.0;9.7
2024-07-18T09:09:49.024145+UTC;6.6;7;0.032;3.25;0.38;1.5;0.55;2320741896;0.17;112.0;0.9914;28.0;11.4
2024-07-18T09:09:49.024145+UTC;6.3;6;0.046;3.24;0.04;1.1;0.36;4019819052;0.48;99.0;0.9928;30.0;9.6
2024-07-18T09:09:49.024145+UTC;6.2;8;0.029;3.33;0.48;1.2;0.39;2262706030;0.66;75.0;0.9892;29.0;12.8
2024-07-18T09:09:49.024145+UTC;7.4;6;0.033;3.12;0.42;1.1;0.53;4961315;0.34;171.0;0.9917;17.0;11.3
2024-07-18T09:09:49.024145+UTC;6.5;5;0.044;3.22;0.14;7.5;0.5;2618507029;0.31;133.0;0.9955;34.0;9.5
2024-07-18T09:09:49.024145+UTC;6.2;8;0.029;3.33;0.48;1.2;0.39;2262706030;0.66;75.0;0.9892;29.0;12.8
2024-07-18T09:09:49.024145+UTC;6.4;7;0.038;3.17;0.38;2.9;0.35;1118726752;0.31;102.0;0.9912;19.0;11.0
2024-07-18T09:09:49.024145+UTC;6.8;8;0.049;3.47;0.42;1.7;0.48;1268016148;0.26;122.0;0.993;41.0;10.5
2024-07-18T09:09:49.024145+UTC;7.6;5;0.074;3.05;0.14;1.5;0.51;1984684631;0.67;168.0;0.9937;25.0;9.3
2024-07-18T09:09:49.024145+UTC;6.6;6;0.052;3.42;0.41;1.3;0.47;4208010451;0.27;142.0;0.9951;16.0;10.0
2024-07-18T09:09:49.024145+UTC;7.0;6;0.046;3.25;0.32;9.0;0.5;1546195135;0.25;245.0;0.9955;56.0;10.4
2024-07-18T09:09:49.024145+UTC;6.9;6;0.052;3.45;0.35;1.0;0.44;2689568537;0.24;146.0;0.993;35.0;10.0
2024-07-18T09:09:49.024145+UTC;7.0;6;0.051;3.38;0.39;8.7;0.53;837563466;0.28;141.0;0.9961;32.0;10.5
2024-07-18T09:09:49.024145+UTC;7.4;6;0.047;3.19;0.48;1.1;0.49;311156804;0.27;132.0;0.9914;17.0;11.6
2024-07-18T09:09:49.024145+UTC;7.2;7;0.033;3.1;0.36;2.0;0.71;225638418;0.32;114.0;0.9906;37.0;12.3
2024-07-18T09:09:49.024145+UTC;8.5;6;0.044;3.2;0.39;10.4;0.53;1043792095;0.24;142.0;0.9974;20.0;10.0
2024-07-18T09:09:49.024145+UTC;8.3;6;0.042;3.47;0.34;1.1;0.4;109348729;0.14;47.0;0.9934;7.0;10.2
2024-07-18T09:09:49.024145+UTC;7.4;6;0.05;3.19;0.36;2.05;0.44;3922009132;0.25;100.0;0.992;31.0;10.8
2024-07-18T09:09:49.024145+UTC;6.2;6;0.045;3.42;0.34;1.5;0.51;1331868287;0.12;117.0;0.9939;43.0;9.0
2024-07-18T09:09:49.024145+UTC;5.8;5;0.044;3.37;0.2;14.95;0.37;2400747357;0.27;179.0;0.9962;22.0;10.2
2024-07-18T09:09:49.024145+UTC;7.3;5;0.08;3.19;0.43;1.7;0.42;3936379721;0.28;123.0;0.9905;21.0;12.8
2024-07-18T09:09:49.024145+UTC;6.5;5;0.051;3.24;0.23;5.4;0.35;3424431937;0.39;149.0;0.9934;25.0;10.0
2024-07-18T09:09:49.024145+UTC;7.0;6;0.053;3.13;0.32;1.2;0.28;2625256171;0.33;138.0;0.9906;38.0;11.2
2024-07-18T09:09:49.024145+UTC;7.3;5;0.057;3.21;0.39;17.95;0.36;412870001;0.24;149.0;0.9999;45.0;8.6
2024-07-18T09:09:49.024145+UTC;7.3;5;0.057;3.21;0.39;17.95;0.36;412870001;0.24;149.0;0.9999;45.0;8.6
2024-07-18T09:09:49.024145+UTC;6.7;6;0.172;3.11;0.39;2.5;0.36;713872463;0.23;158.0;0.9937;63.0;9.4
2024-07-18T09:09:49.024145+UTC;6.7;6;0.173;3.1;0.39;2.9;0.34;3690560719;0.24;157.0;0.9937;63.0;9.4
2024-07-18T09:09:49.024145+UTC;7.0;6;0.069;3.13;0.26;7.4;0.46;525585653;0.31;160.0;0.9954;28.0;9.8
2024-07-18T09:09:49.024145+UTC;6.6;6;0.057;3.22;0.27;1.4;0.56;226423905;0.24;152.0;0.9934;33.0;9.5
2024-07-18T09:09:49.024145+UTC;6.7;6;0.06;3.24;0.26;1.4;0.56;1286117571;0.23;154.0;0.9934;33.0;9.5
2024-07-18T09:09:49.024145+UTC;7.4;7;0.058;3.16;0.31;1.4;0.53;121521065;0.18;167.0;0.9931;38.0;10.0
2024-07-18T09:09:49.024145+UTC;6.2;4;0.063;3.27;0.26;4.4;0.52;239625657;0.45;206.0;0.994;63.0;9.8
2024-07-18T09:09:49.024145+UTC;6.2;5;0.066;3.25;0.25;4.4;0.52;2511008800;0.46;207.0;0.9939;62.0;9.8
2024-07-18T09:09:49.024145+UTC;7.0;6;0.069;3.13;0.26;7.4;0.46;525585653;0.31;160.0;0.9954;28.0;9.8
2024-07-18T09:09:49.024145+UTC;6.9;5;0.067;3.36;0.35;5.0;0.48;2668436182;0.19;150.0;0.995;32.0;9.8
2024-07-18T09:09:49.024145+UTC;7.2;6;0.062;3.35;0.31;1.6;0.44;1646253208;0.19;173.0;0.9917;31.0;11.7
2024-07-18T09:09:49.024145+UTC;6.6;7;0.068;3.34;0.29;1.1;0.58;2549283030;0.25;124.0;0.9914;39.0;11.0
2024-07-18T09:09:49.024145+UTC;6.2;7;0.057;3.32;0.33;1.1;0.46;3781385844;0.16;82.0;0.991;21.0;10.9
2024-07-18T09:09:49.024145+UTC;6.4;6;0.045;3.31;0.35;1.0;0.35;1008685614;0.18;108.0;0.9911;39.0;10.9
2024-07-18T09:09:49.024145+UTC;6.8;6;0.147;3.05;0.59;0.9;0.38;3822639191;0.2;132.0;0.993;38.0;9.1
2024-07-18T09:09:49.024145+UTC;6.9;6;0.039;3.13;0.35;1.3;0.52;3675793652;0.25;191.0;0.9908;29.0;11.0
2024-07-18T09:09:49.024145+UTC;7.2;6;0.043;3.09;0.34;11.9;0.5;2021838108;0.21;213.0;0.9962;37.0;9.6
2024-07-18T09:09:49.024145+UTC;6.0;6;0.048;3.3;0.26;12.4;0.36;1778046000;0.19;147.0;0.9972;50.0;8.9
2024-07-18T09:09:49.024145+UTC;6.6;6;0.044;3.11;0.15;4.6;0.38;605340467;0.38;78.0;0.9931;25.0;10.2
2024-07-18T09:09:49.024145+UTC;7.4;6;0.038;3.36;0.36;1.2;0.34;2352492008;0.2;111.0;0.9926;44.0;9.9
2024-07-18T09:09:49.024145+UTC;6.8;6;0.092;3.03;0.24;4.9;0.46;1563135518;0.22;123.0;0.9951;30.0;8.6
2024-07-18T09:09:49.024145+UTC;6.0;6;0.048;3.3;0.26;12.4;0.36;1778046000;0.19;147.0;0.9972;50.0;8.9
2024-07-18T09:09:49.024145+UTC;7.0;5;0.035;3.02;0.07;1.1;0.34;3097257636;0.47;151.0;0.991;17.0;10.5
2024-07-18T09:09:49.024145+UTC;6.6;6;0.044;3.11;0.15;4.6;0.38;605340467;0.38;78.0;0.9931;25.0;10.2
2024-07-18T09:09:49.024145+UTC;7.2;6;0.038;3.15;0.27;1.4;0.46;1103908072;0.24;122.0;0.9927;31.0;10.3
2024-07-18T09:09:49.024145+UTC;6.2;5;0.064;3.22;0.03;1.2;0.54;2336814860;0.35;120.0;0.9934;29.0;9.1
2024-07-18T09:09:49.024145+UTC;6.4;7;0.04;3.22;0.24;6.4;0.49;2497990219;0.26;124.0;0.9903;27.0;12.6
2024-07-18T09:09:49.024145+UTC;6.7;5;0.041;3.14;0.13;1.2;0.42;1287898756;0.25;174.0;0.992;81.0;9.8
2024-07-18T09:09:49.024145+UTC;6.7;8;0.046;3.33;0.31;2.1;0.64;3911956138;0.23;96.0;0.9926;30.0;10.7
2024-07-18T09:09:49.024145+UTC;7.4;5;0.05;3.13;0.29;10.1;0.35;2353961473;0.24;105.0;0.9962;21.0;9.5
2024-07-18T09:09:49.024145+UTC;6.2;6;0.056;3.1;0.43;7.8;0.51;1350733492;0.27;244.0;0.9956;48.0;9.0
2024-07-18T09:09:49.024145+UTC;6.8;5;0.061;3.32;0.23;4.6;0.6;23160475;0.3;238.5;0.9958;50.5;9.5
2024-07-18T09:09:49.024145+UTC;6.0;5;0.063;3.69;0.28;4.8;0.71;3142374704;0.27;201.0;0.9964;31.0;10.0
2024-07-18T09:09:49.024145+UTC;8.6;6;0.054;2.95;0.46;1.0;0.49;3804188736;0.23;72.0;0.9941;9.0;9.1
2024-07-18T09:09:49.024145+UTC;6.7;8;0.046;3.33;0.31;2.1;0.64;3911956138;0.23;96.0;0.9926;30.0;10.7
2024-07-18T09:09:49.024145+UTC;7.4;5;0.05;3.13;0.29;10.1;0.35;2353961473;0.24;105.0;0.9962;21.0;9.5
2024-07-18T09:09:49.024145+UTC;7.1;7;0.043;3.26;0.36;1.4;0.37;1239634648;0.18;87.0;0.9898;31.0;12.7
2024-07-18T09:09:49.024145+UTC;7.0;7;0.042;3.31;0.34;1.3;0.65;1729085918;0.32;69.0;0.9912;20.0;12.0
2024-07-18T09:09:49.024145+UTC;7.4;5;0.064;2.94;0.3;8.8;0.56;2278793606;0.18;103.0;0.9961;26.0;9.3
2024-07-18T09:09:49.024145+UTC;6.7;5;0.06;3.27;0.28;5.4;0.37;2359184054;0.54;105.0;0.9949;21.0;9.0
2024-07-18T09:09:49.024145+UTC;6.8;6;0.053;3.39;0.31;1.4;0.77;2570026541;0.22;114.0;0.9929;34.0;10.6
2024-07-18T09:09:49.024145+UTC;7.1;6;0.05;3.21;0.34;16.0;0.6;2343704396;0.2;166.0;0.9985;51.0;9.2
2024-07-18T09:09:49.024145+UTC;7.1;5;0.063;3.17;0.2;6.1;0.42;650998777;0.34;164.0;0.9946;47.0;10.0
2024-07-18T09:09:49.024145+UTC;7.3;6;0.047;3.33;0.3;8.2;0.46;3909785142;0.22;207.0;0.9966;42.0;9.5
2024-07-18T09:09:49.024145+UTC;7.1;5;0.045;3.11;0.61;11.8;0.45;1906467187;0.43;155.0;0.9974;54.0;8.7
2024-07-18T09:09:49.024145+UTC;7.1;6;0.044;3.12;0.62;11.8;0.46;2433211204;0.44;152.0;0.9975;52.0;8.7
2024-07-18T09:09:49.024145+UTC;7.2;6;0.044;3.09;0.63;11.0;0.44;3906237144;0.39;156.0;0.9974;55.0;8.7
2024-07-18T09:09:49.024145+UTC;6.8;6;0.05;3.22;0.31;13.3;0.48;1392883045;0.25;202.0;0.9972;69.0;9.7
2024-07-18T09:09:49.024145+UTC;7.1;5;0.045;3.11;0.61;11.8;0.45;1906467187;0.43;155.0;0.9974;54.0;8.7
2024-07-18T09:09:49.024145+UTC;7.1;6;0.044;3.12;0.62;11.8;0.46;2433211204;0.44;152.0;0.9975;52.0;8.7
2024-07-18T09:09:49.024145+UTC;7.2;6;0.044;3.09;0.63;11.0;0.44;3906237144;0.39;156.0;0.9974;55.0;8.7
2024-07-18T09:09:49.024145+UTC;6.1;5;0.049;3.12;0.43;7.5;0.47;2311046183;0.27;243.0;0.9957;65.0;9.0
2024-07-18T09:09:49.024145+UTC;6.9;7;0.035;3.26;0.33;1.7;0.4;3897921690;0.24;136.0;0.99;47.0;12.6
2024-07-18T09:09:49.024145+UTC;6.9;7;0.034;3.25;0.33;1.8;0.41;385887398;0.21;136.0;0.9899;48.0;12.6
2024-07-18T09:09:49.024145+UTC;7.5;7;0.04;3.21;0.32;1.7;0.44;1318083415;0.17;148.0;0.9916;51.0;11.5
2024-07-18T09:09:49.024145+UTC;7.1;6;0.044;3.04;0.29;12.4;0.42;2738359056;0.26;240.0;0.9969;62.0;9.2
2024-07-18T09:09:49.024145+UTC;6.0;6;0.046;3.14;0.66;15.9;0.5;64498658;0.34;164.0;0.9979;26.0;8.8
2024-07-18T09:09:49.024145+UTC;8.6;7;0.034;2.95;0.36;1.2;0.36;1624347490;0.265;80.0;0.9913;15.0;11.4
2024-07-18T09:09:49.024145+UTC;9.8;4;0.038;2.89;0.46;10.5;0.3;589869885;0.36;83.0;0.9956;4.0;10.1
2024-07-18T09:09:49.024145+UTC;6.0;6;0.046;3.14;0.66;15.9;0.5;64498658;0.34;164.0;0.9979;26.0;8.8
2024-07-18T09:09:49.024145+UTC;7.4;5;0.06;3.0;0.37;13.5;0.44;2988878041;0.25;192.0;0.9975;52.0;9.1
2024-07-18T09:09:49.024145+UTC;7.1;5;0.054;3.4;0.32;9.6;0.41;4104965633;0.12;162.0;0.9962;64.0;9.4
2024-07-18T09:09:49.024145+UTC;6.0;5;0.05;3.34;0.24;12.1;0.39;354720726;0.21;164.0;0.997;55.0;9.4
2024-07-18T09:09:49.024145+UTC;7.5;5;0.059;2.99;0.4;18.9;0.46;1029551326;0.305;170.0;1.0;44.0;9.0
2024-07-18T09:09:49.024145+UTC;7.4;5;0.06;3.0;0.37;13.5;0.44;2988878041;0.25;192.0;0.9975;52.0;9.1
2024-07-18T09:09:49.024145+UTC;7.3;6;0.051;3.2;0.32;14.4;0.35;3996803917;0.13;109.0;0.9974;34.0;9.2
2024-07-18T09:09:49.024145+UTC;7.1;5;0.054;3.4;0.32;9.6;0.41;4104965633;0.12;162.0;0.9962;64.0;9.4
2024-07-18T09:09:49.024145+UTC;7.1;6;0.04;3.16;0.35;16.5;0.59;48095552;0.23;171.0;0.999;60.0;9.1
2024-07-18T09:09:49.024145+UTC;7.1;6;0.04;3.16;0.35;16.5;0.59;48095552;0.23;171.0;0.999;60.0;9.1
2024-07-18T09:09:49.024145+UTC;6.9;5;0.051;3.27;0.28;1.3;0.6;2689183907;0.33;187.0;0.9927;37.0;10.3
2024-07-18T09:09:49.024145+UTC;6.5;6;0.082;2.89;0.54;8.5;0.39;4250530403;0.17;163.0;0.9959;64.0;8.8
2024-07-18T09:09:49.024145+UTC;7.2;5;0.052;3.04;0.46;18.75;0.52;4090017025;0.27;255.0;1.0;45.0;8.9
2024-07-18T09:09:49.024145+UTC;7.2;5;0.056;3.01;0.5;13.3;0.47;179744806;0.31;195.0;0.9982;68.0;9.2
2024-07-18T09:09:49.024145+UTC;6.7;5;0.049;3.22;0.34;9.2;0.51;1228506525;0.41;150.0;0.9968;29.0;9.1
2024-07-18T09:09:49.024145+UTC;6.7;5;0.049;3.22;0.34;9.2;0.51;1228506525;0.41;150.0;0.9968;29.0;9.1
2024-07-18T09:09:49.024145+UTC;5.5;4;0.065;3.63;0.0;1.5;0.4;2744650693;0.485;103.0;0.994;8.0;9.7
2024-07-18T09:09:49.024145+UTC;6.0;6;0.041;3.31;0.24;3.3;0.44;300417573;0.31;143.0;0.9914;25.0;11.3
2024-07-18T09:09:49.024145+UTC;7.0;6;0.035;3.19;0.4;1.7;0.42;847688343;0.14;85.0;0.9911;16.0;11.8
2024-07-18T09:09:49.024145+UTC;7.2;5;0.056;3.01;0.5;13.3;0.47;179744806;0.31;195.0;0.9982;68.0;9.2
2024-07-18T09:09:49.024145+UTC;7.3;5;0.06;3.04;0.48;13.3;0.5;2275718234;0.32;196.0;0.9982;57.0;9.2
2024-07-18T09:09:49.024145+UTC;5.9;5;0.046;3.22;0.04;5.7;0.51;2259074873;0.36;87.0;0.9934;21.0;10.2
2024-07-18T09:09:49.024145+UTC;7.8;5;0.054;3.01;0.32;12.2;0.54;4162482173;0.24;138.0;0.9984;42.0;8.8
2024-07-18T09:09:49.024145+UTC;7.4;5;0.059;3.29;0.31;6.85;0.34;2163662083;0.16;131.0;0.9952;31.0;9.7
2024-07-18T09:09:49.024145+UTC;6.9;6;0.058;3.29;0.28;5.0;0.36;2918593601;0.19;146.0;0.9952;14.0;9.1
2024-07-18T09:09:49.024145+UTC;6.4;6;0.092;3.21;0.47;1.6;0.36;1454109270;0.13;158.0;0.9928;40.0;9.8
2024-07-18T09:09:49.024145+UTC;6.7;6;0.026;3.27;0.36;1.1;0.48;1229477229;0.19;143.0;0.9912;63.0;11.0
2024-07-18T09:09:49.024145+UTC;7.4;5;0.033;3.14;0.23;7.0;0.42;3650260715;0.39;126.0;0.994;29.0;10.5
2024-07-18T09:09:49.024145+UTC;6.5;7;0.038;3.45;0.32;7.6;0.54;2579645160;0.24;203.0;0.9958;48.0;9.7
2024-07-18T09:09:49.024145+UTC;6.1;7;0.044;3.3;0.56;2.8;0.57;3516512014;0.3;179.0;0.9924;47.0;10.9
2024-07-18T09:09:49.024145+UTC;6.1;6;0.046;3.31;0.56;2.7;0.57;965416533;0.3;184.0;0.9924;46.0;10.9
2024-07-18T09:09:49.024145+UTC;5.7;5;0.02;3.39;0.25;10.4;0.37;220682831;0.26;57.0;0.994;7.0;10.6
2024-07-18T09:09:49.024145+UTC;6.5;7;0.038;3.45;0.32;7.6;0.54;2579645160;0.24;203.0;0.9958;48.0;9.7
2024-07-18T09:09:49.024145+UTC;6.5;5;0.038;3.23;0.4;13.1;0.57;2593284335;0.425;241.0;0.9979;59.0;9.0
2024-07-18T09:09:49.024145+UTC;6.6;5;0.035;3.24;0.27;15.8;0.51;1971232060;0.24;188.0;0.9982;46.0;9.2
2024-07-18T09:09:49.024145+UTC;6.8;5;0.034;3.19;0.22;8.1;0.52;2338290012;0.27;203.0;0.9961;55.0;8.9
2024-07-18T09:09:49.024145+UTC;6.7;5;0.036;3.26;0.31;15.7;0.56;2412096401;0.27;179.0;0.9979;44.0;9.6
2024-07-18T09:09:49.024145+UTC;8.2;6;0.027;3.12;0.4;1.2;0.38;1567177017;0.23;121.0;0.992;36.0;10.7
2024-07-18T09:09:49.024145+UTC;7.1;5;0.045;3.16;0.67;10.5;0.44;3008728408;0.37;155.0;0.9975;49.0;8.7
2024-07-18T09:09:49.024145+UTC;6.8;7;0.035;3.15;0.36;1.9;0.54;28401160;0.19;96.0;0.9917;30.0;10.8
2024-07-18T09:09:49.024145+UTC;8.1;6;0.029;3.23;0.39;1.9;0.52;960490502;0.28;79.0;0.9923;18.0;11.8
2024-07-18T09:09:49.024145+UTC;6.3;5;0.045;3.3;0.34;2.2;0.43;3626485449;0.31;77.0;0.9927;20.0;10.2
2024-07-18T09:09:49.024145+UTC;7.1;5;0.045;3.16;0.67;10.5;0.44;3008728408;0.37;155.0;0.9975;49.0;8.7
2024-07-18T09:09:49.024145+UTC;7.9;6;0.039;3.21;0.4;1.2;0.54;4243051457;0.21;107.0;0.992;38.0;10.8
2024-07-18T09:09:49.024145+UTC;8.5;6;0.036;3.18;0.41;4.3;0.53;3972630706;0.21;99.0;0.9947;24.0;9.7
2024-07-18T09:09:49.024145+UTC;8.1;6;0.037;3.12;0.4;2.0;0.54;73084149;0.2;87.0;0.9921;19.0;11.2
2024-07-18T09:09:49.024145+UTC;6.3;6;0.04;3.0;0.37;1.1;0.39;1006726778;0.255;114.0;0.9905;37.0;10.9
2024-07-18T09:09:49.024145+UTC;5.6;6;0.044;3.28;0.27;1.4;0.37;680922761;0.16;168.0;0.9918;53.0;10.1
2024-07-18T09:09:49.024145+UTC;6.4;4;0.058;3.38;0.14;5.2;0.36;106664897;0.595;97.0;0.9951;15.0;9.0
2024-07-18T09:09:49.024145+UTC;6.3;7;0.034;3.38;0.33;4.6;0.58;350845874;0.34;80.0;0.9917;19.0;12.0
2024-07-18T09:09:49.024145+UTC;6.9;6;0.054;2.99;0.3;4.1;0.38;2989722971;0.25;116.0;0.994;23.0;9.4
2024-07-18T09:09:49.024145+UTC;7.9;7;0.043;3.12;0.38;8.0;0.32;2420693982;0.22;152.0;0.9934;46.0;11.5
2024-07-18T09:09:49.024145+UTC;7.6;6;0.055;3.14;0.46;10.2;0.43;2588930844;0.18;135.0;0.9968;58.0;9.9
2024-07-18T09:09:49.024145+UTC;6.9;6;0.054;2.99;0.3;4.1;0.38;2989722971;0.25;116.0;0.994;23.0;9.4
2024-07-18T09:09:49.024145+UTC;7.2;5;0.048;3.14;0.41;1.2;0.45;689716878;0.18;97.0;0.9919;41.0;10.4
2024-07-18T09:09:49.024145+UTC;8.2;6;0.049;3.06;0.4;7.5;0.84;3950363013;0.23;76.0;0.9966;12.0;9.7
2024-07-18T09:09:49.024145+UTC;7.4;6;0.066;2.89;0.42;14.0;0.42;470852274;0.24;198.0;0.9979;48.0;8.9
2024-07-18T09:09:49.024145+UTC;7.4;6;0.066;2.89;0.42;14.0;0.42;470852274;0.24;198.0;0.9979;48.0;8.9
2024-07-18T09:09:49.024145+UTC;6.1;7;0.036;3.29;0.24;1.5;0.42;2173618152;0.32;124.0;0.9898;38.0;12.4
2024-07-18T09:09:49.024145+UTC;5.2;8;0.036;3.36;0.04;1.4;0.33;1608672995;0.44;119.0;0.9894;43.0;12.1
2024-07-18T09:09:49.024145+UTC;5.2;8;0.036;3.36;0.04;1.4;0.33;1608672995;0.44;119.0;0.9894;43.0;12.1
2024-07-18T09:09:49.024145+UTC;6.1;7;0.036;3.29;0.24;1.5;0.42;2173618152;0.32;124.0;0.9898;38.0;12.4
2024-07-18T09:09:49.024145+UTC;6.4;5;0.055;2.98;0.56;14.5;0.4;4159679650;0.22;159.0;0.998;27.0;9.1
2024-07-18T09:09:49.024145+UTC;6.3;5;0.049;3.28;0.3;4.8;0.39;1682278438;0.36;85.0;0.9932;14.0;10.6
2024-07-18T09:09:49.024145+UTC;7.4;6;0.066;2.89;0.42;14.0;0.42;470852274;0.24;198.0;0.9979;48.0;8.9
2024-07-18T09:09:49.024145+UTC;6.7;5;0.05;3.15;0.35;13.1;0.5;247367542;0.24;205.0;0.997;64.0;9.5
2024-07-18T09:09:49.024145+UTC;7.0;5;0.051;3.16;0.36;13.0;0.49;977129575;0.23;177.0;0.9972;72.0;9.8
2024-07-18T09:09:49.024145+UTC;8.4;6;0.048;3.14;0.46;8.7;0.59;1092156130;0.27;197.0;0.9974;39.0;9.6
2024-07-18T09:09:49.024145+UTC;6.7;7;0.034;3.08;0.18;2.4;0.44;1263762523;0.46;98.0;0.9896;25.0;12.6
2024-07-18T09:09:49.024145+UTC;7.5;5;0.055;3.08;0.31;8.95;0.54;228421175;0.29;151.0;0.9968;20.0;9.3
2024-07-18T09:09:49.024145+UTC;9.8;5;0.034;2.87;0.48;9.85;0.29;1087037665;0.42;110.0;0.9958;5.0;10.0
2024-07-18T09:09:49.024145+UTC;7.1;6;0.066;3.12;0.46;1.5;0.54;4047475973;0.3;133.0;0.9906;29.0;12.7
